Time (s),Temperature (K),Rate (s-1),Extent
0.000000000000000000e+00,2.930000000000000000e+02,9.118758519787937606e-07,0.000000000000000000e+00
1.800180018001800164e-01,2.930300030003000415e+02,9.149469389074228301e-07,1.641540687630591701e-07
3.600360036003600328e-01,2.930600060006000831e+02,9.180277365095547603e-07,3.288609884583648172e-07
5.400540054005400492e-01,2.930900090009000678e+02,9.211182734250027659e-07,4.941225071819570455e-07
7.200720072007200656e-01,2.931200120012001094e+02,9.242185783717522025e-07,6.599403781855578800e-07
9.000900090009000820e-01,2.931500150015001509e+02,9.273286801460900577e-07,8.263163598906437928e-07
1.080108010801080098e+00,2.931800180018001925e+02,9.304486076228323784e-07,9.932522159025412049e-07
1.260126012601260115e+00,2.932100210021002340e+02,9.335783897555406886e-07,1.160749715024563307e-06
1.440144014401440131e+00,2.932400240024002187e+02,9.367180555766789017e-07,1.328810631272185367e-06
1.620162016201620148e+00,2.932700270027002603e+02,9.398676341978427608e-07,1.497436743887249050e-06
1.800180018001800164e+00,2.933000300030003018e+02,9.430271548099369744e-07,1.666629837352207291e-06
1.980198019801980180e+00,2.933300330033003434e+02,9.461966466833668575e-07,1.836391701404401241e-06
2.160216021602160197e+00,2.933600360036003849e+02,9.493761391682695720e-07,2.006724131050371953e-06
2.340234023402340213e+00,2.933900390039003696e+02,9.525656616946651096e-07,2.177628926580213566e-06
2.520252025202520230e+00,2.934200420042004112e+02,9.557652437727238490e-07,2.349107893581953380e-06
2.700270027002700246e+00,2.934500450045004527e+02,9.589749149928842933e-07,2.521162842955981069e-06
2.880288028802880262e+00,2.934800480048004943e+02,9.621947050261060150e-07,2.693795590929497783e-06
3.060306030603060279e+00,2.935100510051005358e+02,9.654246436240591798e-07,2.867007959071011010e-06
3.240324032403240295e+00,2.935400540054005205e+02,9.686647606193227524e-07,3.040801774304864993e-06
3.420342034203420312e+00,2.935700570057005621e+02,9.719150859255863017e-07,3.215178868925805044e-06
3.600360036003600328e+00,2.936000600060006036e+02,9.751756495378541364e-07,3.390141080613579545e-06
3.780378037803780344e+00,2.936300630063006452e+02,9.784464815326358867e-07,3.565690252447576672e-06
3.960396039603960361e+00,2.936600660066006867e+02,9.817276120681667334e-07,3.741828232921498401e-06
4.140414041404140377e+00,2.936900690069006714e+02,9.850190713845897315e-07,3.918556875958071771e-06
4.320432043204320394e+00,2.937200720072007130e+02,9.883208898041904382e-07,4.095878040923794458e-06
4.500450045004500410e+00,2.937500750075007545e+02,9.916330977315701316e-07,4.273793592643720585e-06
4.680468046804680426e+00,2.937800780078007961e+02,9.949557256538620154e-07,4.452305401416280406e-06
4.860486048604860443e+00,2.938100810081008376e+02,9.982888041409366245e-07,4.631415343028136420e-06
5.040504050405040459e+00,2.938400840084008223e+02,1.001632363845606807e-06,4.811125298769079293e-06
5.220522052205220476e+00,2.938700870087008639e+02,1.004986435503841177e-06,4.991437155446955963e-06
5.400540054005400492e+00,2.939000900090009054e+02,1.008351049934963378e-06,5.172352805402642645e-06
5.580558055805580508e+00,2.939300930093009470e+02,1.011726238041843513e-06,5.353874146525048323e-06
5.760576057605760525e+00,2.939600960096009885e+02,1.015112030811127691e-06,5.536003082266154670e-06
5.940594059405940541e+00,2.939900990099009732e+02,1.018508459313438349e-06,5.718741521656096620e-06
6.120612061206120558e+00,2.940201020102010148e+02,1.021915554703589189e-06,5.902091379318281906e-06
6.300630063006300574e+00,2.940501050105010563e+02,1.025333348220779567e-06,6.086054575484544481e-06
6.480648064806480591e+00,2.940801080108010979e+02,1.028761871188811128e-06,6.270633036010337749e-06
6.660666066606660607e+00,2.941101110111010826e+02,1.032201155016289184e-06,6.455828692389961673e-06
6.840684068406840623e+00,2.941401140114011241e+02,1.035651231196870049e-06,6.641643481771832239e-06
7.020702070207020640e+00,2.941701170117011657e+02,1.039112131309397200e-06,6.828079346973789036e-06
7.200720072007200656e+00,2.942001200120012072e+02,1.042583887018201336e-06,7.015138236498433331e-06
7.380738073807380673e+00,2.942301230123012488e+02,1.046066530073230401e-06,7.202822104548514418e-06
7.560756075607560689e+00,2.942601260126012335e+02,1.049560092310327831e-06,7.391132911042345620e-06
7.740774077407740705e+00,2.942901290129012750e+02,1.053064605651400481e-06,7.580072621629263488e-06
