Time (s),Temperature (K),Rate (s-1),Extent
0.000000000000000000e+00,2.930000000000000000e+02,9.118758519787937606e-07,0.000000000000000000e+00
1.800180018001800164e-01,2.930800080008000918e+02,9.200871856576357266e-07,1.641540687630591701e-07
3.600360036003600328e-01,2.931600160016001837e+02,9.283679177675077323e-07,3.297863254070980107e-07
5.400540054005400492e-01,2.932400240024002187e+02,9.367185952140936903e-07,4.969092628989986207e-07
7.200720072007200656e-01,2.933200320032003106e+02,9.451397688890546856e-07,6.655354726585114200e-07
9.000900090009000820e-01,2.934000400040004024e+02,9.536319936965966931e-07,8.356776452758030429e-07
1.080108010801080098e+00,2.934800480048004943e+02,9.621958285802376663e-07,1.007348571233786158e-06
1.260126012601260115e+00,2.935600560056005861e+02,9.708318365496821981e-07,1.180561141635269140e-06
1.440144014401440131e+00,2.936400640064006211e+02,9.795405847078926940e-07,1.355328348934941934e-06
1.620162016201620148e+00,2.937200720072007130e+02,9.883226442783336575e-07,1.531663287676236804e-06
1.800180018001800164e+00,2.938000800080008048e+02,9.971785906323132783e-07,1.709579155233092447e-06
1.980198019801980180e+00,2.938800880088008967e+02,1.006109003316576589e-06,1.889089252556641277e-06
2.160216021602160197e+00,2.939600960096009885e+02,1.015114466081010856e-06,2.070206984926862016e-06
2.340234023402340213e+00,2.940401040104010235e+02,1.024195566906520371e-06,2.252945862709222154e-06
2.520252025202520230e+00,2.941201120112011154e+02,1.033352898033078704e-06,2.437319502116336332e-06
2.700270027002700246e+00,2.942001200120012072e+02,1.042587055987943791e-06,2.623341625974676209e-06
2.880288028802880262e+00,2.942801280128012991e+02,1.051898641614046248e-06,2.811026064496358298e-06
3.060306030603060279e+00,2.943601360136013341e+02,1.061288260098544326e-06,3.000386756056042585e-06
3.240324032403240295e+00,2.944401440144014259e+02,1.070756521001565443e-06,3.191437747972972217e-06
3.420342034203420312e+00,2.945201520152015178e+02,1.080304038285041716e-06,3.384193197298186436e-06
3.600360036003600328e+00,2.946001600160016096e+02,1.089931430341863152e-06,3.578667371606924989e-06
