Time (s),Temperature (K),Rate (s-1),Extent
2.106210621062106014e+01,2.982655265526552739e+02,1.628178926767509187e-06,2.600482390730176569e-05
2.124212421242124194e+01,2.983105310531053078e+02,1.636121869384369065e-06,2.629792542427161650e-05
2.142214221422142373e+01,2.983555355535553417e+02,1.644101145515612125e-06,2.659245681389976908e-05
2.160216021602160197e+01,2.984005400540053756e+02,1.652116909944736355e-06,2.688842461687287281e-05
2.178217821782178021e+01,2.984455445544554664e+02,1.660169318064033874e-06,2.718583540174141029e-05
2.196219621962196200e+01,2.984905490549055003e+02,1.668258525876727362e-06,2.748469576502926947e-05
2.214221422142214379e+01,2.985355535553555342e+02,1.676384689999257893e-06,2.778501233134371569e-05
2.232223222322232203e+01,2.985805580558055681e+02,1.684547967663374569e-06,2.808679175348579394e-05
2.250225022502250027e+01,2.986255625562556020e+02,1.692748516718462588e-06,2.839004071256110719e-05
2.268226822682268207e+01,2.986705670567056927e+02,1.700986495633658073e-06,2.869476591809098779e-05
2.286228622862286386e+01,2.987155715571557266e+02,1.709262063500094618e-06,2.900097410812405171e-05
2.304230423042304210e+01,2.987605760576057605e+02,1.717575380033164650e-06,2.930867204934818645e-05
2.322232223222322034e+01,2.988055805580557944e+02,1.725926605574719812e-06,2.961786653720293878e-05
2.340234023402340213e+01,2.988505850585058283e+02,1.734315901095309883e-06,2.992856439599227175e-05
2.358235823582358393e+01,2.988955895589559191e+02,1.742743428196496233e-06,3.024077247899773166e-05
2.376237623762376217e+01,2.989405940594059530e+02,1.751209349112969198e-06,3.055449766859205896e-05
2.394239423942394041e+01,2.989855985598559869e+02,1.759713826714986474e-06,3.086974687635316830e-05
2.412241224122412220e+01,2.990306030603060208e+02,1.768257024510519500e-06,3.118652704317855228e-05
2.430243024302430399e+01,2.990756075607560547e+02,1.776839106647567548e-06,3.150484513940006790e-05
2.448244824482448223e+01,2.991206120612061454e+02,1.785460237916469705e-06,3.182470816489917710e-05
2.466246624662466047e+01,2.991656165616561793e+02,1.794120583752133412e-06,3.214612314922257020e-05
2.484248424842484226e+01,2.992106210621062132e+02,1.802820310236408701e-06,3.246909715169820254e-05
2.502250225022502406e+01,2.992556255625562471e+02,1.811559584100385981e-06,3.279363726155174467e-05
2.520252025202520230e+01,2.993006300630062810e+02,1.820338572726631781e-06,3.311975059802345925e-05
2.538253825382538054e+01,2.993456345634563718e+02,1.829157444151613598e-06,3.344744431048549826e-05
2.556255625562556233e+01,2.993906390639064057e+02,1.838016367067952577e-06,3.377672557855959987e-05
2.574257425742574412e+01,2.994356435643564396e+02,1.846915510826799013e-06,3.410760161223520549e-05
2.592259225922592236e+01,2.994806480648064735e+02,1.855855045440214638e-06,3.444007965198800375e-05
2.610261026102610060e+01,2.995256525652565074e+02,1.864835141583421912e-06,3.477416696889892845e-05
2.628262826282628239e+01,2.995706570657065981e+02,1.873855970597267407e-06,3.510987086477353598e-05
2.646264626462646419e+01,2.996156615661566320e+02,1.882917704490482327e-06,3.544719867226179616e-05
2.664266426642664243e+01,2.996606660666066659e+02,1.892020515942189091e-06,3.578615775497835053e-05
2.682268226822682067e+01,2.997056705670566998e+02,1.901164578304207167e-06,3.612675550762320441e-05
2.700270027002700246e+01,2.997506750675067337e+02,1.910350065603410576e-06,3.646899935610281194e-05
2.718271827182718425e+01,2.997956795679567676e+02,1.919577152544183020e-06,3.681289675765158129e-05
2.736273627362736249e+01,2.998406840684068584e+02,1.928846014510861145e-06,3.715845520095386093e-05
2.754275427542754073e+01,2.998856885688568923e+02,1.938156827569971557e-06,3.750568220626634606e-05
2.772277227722772253e+01,2.999306930693069262e+02,1.947509768472880130e-06,3.785458532554087128e-05
2.790279027902790432e+01,2.999756975697569601e+02,1.956905014658073062e-06,3.820517214254769118e-05
2.808280828082808256e+01,3.000207020702069940e+02,1.966342744253645464e-06,3.855745027299918777e-05
2.826282628262826080e+01,3.000657065706570847e+02,1.975823136079731913e-06,3.891142736467400487e-05
2.844284428442844259e+01,3.001107110711071186e+02,1.985346369650912034e-06,3.926711109754165005e-05
2.862286228622862438e+01,3.001557155715571525e+02,1.994912625178801145e-06,3.962450918388744892e-05
2.880288028802880262e+01,3.002007200720071864e+02,2.004522083574343598e-06,3.998362936843808220e-05
2.898289828982898086e+01,3.002457245724572203e+02,2.014174926450443669e-06,4.034447942848746837e-05
2.916291629162916266e+01,3.002907290729073111e+02,2.023871336124379171e-06,4.070706717402310706e-05
2.934293429342934445e+01,3.003357335733573450e+02,2.033611495620245150e-06,4.107140044785288335e-05
2.952295229522952269e+01,3.003807380738073789e+02,2.043395588671539450e-06,4.143748712573231237e-05
2.970297029702970093e+01,3.004257425742574128e+02,2.053223799723630122e-06,4.180533511649226516e-05
2.988298829882988272e+01,3.004707470747074467e+02,2.063096313936259673e-06,4.217495236216708743e-05
3.006300630063006452e+01,3.005157515751575374e+02,2.073013317186119629e-06,4.254634683812321305e-05
3.024302430243024276e+01,3.005607560756075713e+02,2.082974996069257796e-06,4.291952655318821805e-05
3.042304230423042100e+01,3.006057605760576052e+02,2.092981537903781993e-06,4.329449954978034203e-05
3.060306030603060279e+01,3.006507650765076392e+02,2.103033130732298236e-06,4.367127390403845020e-05
3.078307830783078458e+01,3.006957695769576731e+02,2.113129963324475129e-06,4.404985772595245607e-05
3.096309630963096282e+01,3.007407740774077638e+02,2.123272225179664587e-06,4.443025915949421178e-05
3.114311431143114106e+01,3.007857785778577977e+02,2.133460106529352719e-06,4.481248638274887275e-05
3.132313231323132285e+01,3.008307830783078316e+02,2.143693798339901259e-06,4.519654760804668923e-05
