Time (s),Temperature (K),Rate (s-1),Extent
0.000000000000000000e+00,2.930000000000000000e+02,9.118758519787937606e-07,0.000000000000000000e+00
1.800180018001800164e-01,2.930150015001499924e+02,9.134101314283208677e-07,1.641540687630591701e-07
3.600360036003600328e-01,2.930300030003000415e+02,9.149468347108301292e-07,3.285843354468252821e-07
5.400540054005400492e-01,2.930450045004500339e+02,9.164859653979904448e-07,4.932912363848684536e-07
7.200720072007200656e-01,2.930600060006000831e+02,9.180275270663571415e-07,6.582752085537236192e-07
9.000900090009000820e-01,2.930750075007500755e+02,9.195715232973445508e-07,8.235366895737698825e-07
1.080108010801080098e+00,2.930900090009000678e+02,9.211179576772533252e-07,9.890761177101054751e-07
1.260126012601260115e+00,2.931050105010501170e+02,9.226668337972939441e-07,1.154893931873427400e-06
1.440144014401440131e+00,2.931200120012001094e+02,9.242181552535159860e-07,1.320990571620915099e-06
1.620162016201620148e+00,2.931350135013501585e+02,9.257719256469252307e-07,1.487366477157101519e-06
1.800180018001800164e+00,2.931500150015001509e+02,9.273281485833910156e-07,1.654022089334765782e-06
1.980198019801980180e+00,2.931650165016501433e+02,9.288868276737110333e-07,1.820957849655808378e-06
2.160216021602160197e+00,2.931800180018001925e+02,9.304479665335992615e-07,1.988174200272138011e-06
2.340234023402340213e+00,2.931950195019501848e+02,9.320115687836900923e-07,2.155671583986557383e-06
2.520252025202520230e+00,2.932100210021002340e+02,9.335776380495527317e-07,2.323450444253648343e-06
2.700270027002700246e+00,2.932250225022502264e+02,9.351461779616770121e-07,2.491511225180660426e-06
2.880288028802880262e+00,2.932400240024002187e+02,9.367171921555122492e-07,2.659854371528397270e-06
3.060306030603060279e+00,2.932550255025502679e+02,9.382906842714464907e-07,2.828480328712107698e-06
3.240324032403240295e+00,2.932700270027002603e+02,9.398666579548141388e-07,2.997389542802377219e-06
3.420342034203420312e+00,2.932850285028503095e+02,9.414451168559273965e-07,3.166582460526016142e-06
3.600360036003600328e+00,2.933000300030003018e+02,9.430260646300497981e-07,3.336059529266957007e-06
3.780378037803780344e+00,2.933150315031502942e+02,9.446095049374155848e-07,3.505821197067146085e-06
3.960396039603960361e+00,2.933300330033003434e+02,9.461954414432555392e-07,3.675867912627437004e-06
4.140414041404140377e+00,2.933450345034503357e+02,9.477838778177636335e-07,3.846200125308491140e-06
4.320432043204320394e+00,2.933600360036003849e+02,9.493748177361429811e-07,4.016818285131670813e-06
4.500450045004500410e+00,2.933750375037503773e+02,9.509682648785720608e-07,4.187722842779941380e-06
4.680468046804680426e+00,2.933900390039003696e+02,9.525642229302510924e-07,4.358914249598766123e-06
4.860486048604860443e+00,2.934050405040504188e+02,9.541626955813953659e-07,4.530392957597011305e-06
5.040504050405040459e+00,2.934200420042004112e+02,9.557636865272125834e-07,4.702159419447847412e-06
5.220522052205220476e+00,2.934350435043504604e+02,9.573671994679527283e-07,4.874214088489649552e-06
5.400540054005400492e+00,2.934500450045004527e+02,9.589732381088707959e-07,5.046557418726904621e-06
5.580558055805580508e+00,2.934650465046504451e+02,9.605818061602819563e-07,5.219189864831111707e-06
